ID;v0.12 ;v0.13 ;v0.13.outro;v0.14 ;v0.15;v0.16 ;v0.17;v0.18 ;v2;v3;v4.1;v4.2;v5;v6.1;v6.2;v6.3;v6.4;v6.5;v6.6;v6.7;v6.8;v6.other;v7;v8;v9;v10;v11;v11.1;v11.2;v12;v13.1;v13.2;v14;v15;v16;v17;v18;v19;v20;v21;v21.quais;v22;v23;v24;v24.outro;v25;v25.1;v26;v27.1;v27.2;v27.3;v27.4;v27.5;v27.6;v27.7;v28.1;v28.2;v28.3;v28.4;v28.5;v29;v30;v31;v31.outro;v32;v32.1.1;v32.1.2;v32.1.3;v32.1.4;v32.1.5;v32.1.6;v32.1.7;v32.1.outro;v33;v33.outro;v34;v34.outro;v35;v36;v36.outro;v37;v38.1.1;v38.1.2;v38.1.3;v38.2.1;v38.2.2;v38.2.3;v38.3.1;v38.3.2;v38.3.3;v38.4.1;v38.4.2;v38.4.3;v38.5.1;v38.5.2;v38.5.3;v38.6.1;v38.6.2;v38.6.3;v39;v39.outro;v40;v41;v42;v43;v44;v45.1.1;v45.1.2;v45.2.1;v45.2.2;v45.3.1;v45.3.2;v45.4.1;v45.4.2;v46.1;v46.2;v46.3;v46.4;v46.5;v46.6;v46.7;v46.8;v46.9;v46.outra;v47;v47.1;v48.1;v48.2;v48.3;v48.4;v48.5;v48.outra;v49;v50;v51.1;v51.2;v51.3;v51.4;v52.1;v52.2;v52.3;v52.4;v53;v54;v55;v56.1;v56.2;v56.3;v56.4;v56.outro;v57;v57.1
82;1;;;;09:00;09:30;;;24/07/1986;1;rio de janeiro;botafogo;60;2;2;2;2;2;2;2;1;;;2;5;;3;1;1;2;10;;1;2;1;Barraquinha de CafÇ;Entregador;2;1;1;"Leme; Leblon;Arpoador; Copacabana";1;1;1;;1;;1;06:00;22:30;7;200;1;;1;07:30;18:00;2;30;0;6;2;2;;1;2;2;2;2;1;2;2;;4;;1;;4;5;;2;10;170;10;0;0;0;0;0;0;6;3.2;10;8;4;5;4;1;10;2;;1;1;1;2;1;11000;200;5.500;;200;200;;;2;2;1;2;2;2;2;2;2;;1;7;2;2;1;1;2;;1;1;1;1;;5;5;3;3;3;5;2;1;2;1;2;2;2;2;
83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;2;1;;2;09:20;09:21;10:26;10:27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;2;1;;1;09:29;09:30;09:40;10:24;24/07/1989;1;rio de janeiro;rocinha;20;2;2;2;2;1;2;2;2;;;4;5;;2;0;1;1;4;0;1;2;1;;garcom;1;1;2;;1;1;0;auxiliar;1;;1;07:00;22:00;9;;6;6;1;08:00;16:00;4.5;;2;7;2;2;3;1;2;2;2;2;1;2;2;;3;;0;chuveirao;1;1;;2;10;180;20;;;;12,5;4;;6;3.17;;8;3,5;;5;1;;1;;1;1;2;2;1;6000;3000;5000;2500;2000;1000;;;2;1;1;2;2;2;2;2;2;falta de estrutura e logistica;1;6;1;2;2;2;2;;2;1;1;1;1;5;5;5;3;3;5;1;1;2;2;1;2;2;1;1
86;2;2;;2;09:33;09:35;10:33;10:34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;2;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;1;;;;09:16;09:31;;;26/01/1988;1;rio de janeiro;leme;10;2;2;2;2;2;2;2;1;;0;2;5;;2;1;1;1;7;2;1;2;1;;Dj e Eventos;2;1;2;;2;1;1;;1;;1;07:00;20:00;10;100;2;2;1;08:00;18:00;4;70;1;6;2;2;;1;2;2;2;2;1;2;2;;4;;1;;1;1;;4;15;220;50;;;;10;5;30;7;3;12;3.5;8;10;1;5;12;2;100% do lucro;1;1;1;2;1;5000;3000;2000;1000;2000;1000;1000;500;;;1;;;;;1;;;1;2;1;;;;;;1;2;1;;;1;5;5;3;1;5;2;2;;;;;;;
89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;1;;;;09:12;09:50;;;15/12/2002;1;nova iguacu;;120;1;1;2;2;2;2;2;2;;40;4;3;11;7;3;1;2;5;;1;2;2;;n∆o tinha;2;2;2;;1;1;1;;1;;1;05:30;19:30;7;300;7;7;1;06:00;19:30;3;150;3;7;3;1,2;;1;2;2;2;2;1;2;2;;2;;4;;5;1;;2;10;180;2;;;;10;5.4;20;7;3;20;8;3;20;5;1;20;1;;1;1;1;1;2;20000;10000;10000;5000;10000;5000;1000;500;2;2;1;2;2;2;2;2;1;;1;7;2;;;;;;2;2;5;1;1;1;4;2;2;1;2;1;1;2;1;2;2;;1;2
