ID;v0.12 ;v0.13 ;v0.13.outro;v0.14 ;v0.15;v0.16 ;v0.17;v0.18 ;v2;v3;v4.1;v4.2;v5;v6.1;v6.2;v6.3;v6.4;v6.5;v6.6;v6.7;v6.8;v6.other;v7;v8;v9;v10;v11;v11.1;v11.2;v12;v13.1;v13.2;v14;v15;v16;v17;v18;v19;v20;v21;v21.quais;v22;v23;v24;v24.outro;v25;v25.1;v26;v27.1;v27.2;v27.3;v27.4;v27.5;v27.6;v27.7;v28.1;v28.2;v28.3;v28.4;v28.5;v29;v30;v31;v31.outro;v32;v32.1.1;v32.1.2;v32.1.3;v32.1.4;v32.1.5;v32.1.6;v32.1.7;v32.1.outro;v33;v33.outro;v34;v34.outro;v35;v36;v36.outro;v37;v38.1.1;v38.1.2;v38.1.3;v38.2.1;v38.2.2;v38.2.3;v38.3.1;v38.3.2;v38.3.3;v38.4.1;v38.4.2;v38.4.3;v38.5.1;v38.5.2;v38.5.3;v38.6.1;v38.6.2;v38.6.3;v39;v39.outro;v40;v41;v42;v43;v44;v45.1.1;v45.1.2;v45.2.1;v45.2.2;v45.3.1;v45.3.2;v45.4.1;v45.4.2;v46.1;v46.2;v46.3;v46.4;v46.5;v46.6;v46.7;v46.8;v46.9;v46.outra;v47;v47.1;v48.1;v48.2;v48.3;v48.4;v48.5;v48.outra;v49;v50;v51.1;v51.2;v51.3;v51.4;v52.1;v52.2;v52.3;v52.4;v53;v54;v55;v56.1;v56.2;v56.3;v56.4;v56.outro;v57;v57.1
50;1;;;;10:27;10:58;;;16/07/1963;2;rio de janeiro;copacabana;10;2;2;2;2;2;2;2;1;;0;4;4;;2;1;2;1;17;;1;2;2;;;2;1;2;;2;1;1;;1;;1;07:00;20:00;5;70;2;5;1;07:00;20:00;3;70;2;7;3;2;;1;2;2;2;2;1;2;2;;2;;1;;2;;;1;10;200;30;;;;15;48;12;7;4;12;10;4;20;5;1;12;1;;1;1;2;1;1;3000;1000;500;100;3000;1000;500;100;;;;;;;;;;seguranca;1;3;;1;1;;;;1;;4;3;;5;1;5;3;3;5;2;1;;;1;;;2;
51;2;1;;;11:03;11:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;2;2;;1;10:00;10:05;10:37;11:02;19/08/1981;1;rio de janeiro;copacabana;5;2;2;2;2;2;2;2;1;;0;1;2;8;0;0;1;2;7;6;2;1;1;Vigilante;Vigilante;2;1;2;;1;1;1;;1;;1;06:00;18:00;4;100;4;100;1;06:00;18:00;3;100;3;7;3;2;;2;2;2;2;2;2;2;2;;4;;4;;3;3;;4;10;250;5;;;;15;;6;8;;6;10;;6;5;;6;4;;1;1;2;2;2;;;;;;;;;2;1;2;2;1;2;2;2;2;;1;2;2;2;2;1;2;;1;1;5;1;3;2;5;3;5;5;2;1;1;1;2;2;2;;2;2
53;2;1;nao quero obrigado;;09:56;09:56;10:05;10:05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;1;;;;09:16;09:46;;;03/09/1992;1;rio de janeiro;copacabana;10;2;2;2;2;2;2;2;1;;0;1;5;12;4;4;2;2;15;;1;2;1;auxiliar de cozinha;auxiliar de cozinha;1;2;2;;1;1;1;;1;;1;05:00;;6;175;0;5;;07:00;17:00;3;100;0;7;3;3;;2;;;;;;;;;1;;4;;1;3;;2;10;130;50;;;;10;3,8;24;6;3;10;10;3;10;5;2;5;0;tabela combinada com outros barraqueiros;1;1;3;1;1;;;;;;;;;2;1;2;2;1;2;1;2;2;;1;5;1;2;2;2;2;;1;4;5;;2;5;5;3;1;5;5;2;1;2;2;2;2;faca de ponta na barraca;1;1
55;1;;;;09:20;09:45;;;27/03/1956;2;rio de janeiro;copacabana;10;2;2;2;2;2;2;2;1;;0;4;2;6;1;1;1;2;12;;1;2;2;;vendia comida nos quiosques;2;2;2;;2;2;1;;1;;1;07:00;19:00;3;80;0;;;07:00;19:00;3;50;0;7;1;5;;2;2;2;2;2;2;2;2;;3;;4;;4;;sem acidentes;1;5;170;10;10;4.95;5;8;4.6;5;7;3.7;5;10;3.6;3;5;2.5;5;1;;1;2;1;2;2;3000;1500;3000;800;2000;300;800;;2;2;2;2;1;2;2;2;1;;2;;2;2;1;1;2;;1;1;5;1;3;4;2;4;3;4;2;1;1;2;2;2;2;faca na mesa;2;
56;1;8;;1;09:12;09:52;;;12/11/1991;1;ramos;rio de Janeiro;60;2;2;2;2;1;2;2;2;;200;2;5;;3;1;1;2;8;;1;2;2;;2;1;2;2;;1;1;1;;1;;1;07:00;19:00;7;150;2;2;1;07:00;18:00;;;;;"2;3";2;;1;1;2;2;2;1;2;1;;4;;4;;4;;;1;;;;;;;;;;;;;;;;;;;1;;1;1;2;1;1;;;;;;;;;2;2;1;2;2;2;2;2;2;furtos nos arredores;1;;2;2;1;2;2;;1;1;5;;;2;4;5;4;4;4;2;1;2;2;2;2;item da barraca longe do estabelecimento;2;
57;2;2;;2;09:40;09:40;10:45;10:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;2;;falou que ja foi entrevistado;;10:04;10:04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;2;0;n∆o quis;2;09:34;09:35;10:00;10:01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;1;;;;10:14;10:44;;;28/06/1988;2;rio de janeiro;copacabana;5;2;2;2;2;2;2;2;1;;0;1;5;;1;1;2;2;7;10;1;2;2;;vendia quentinha;2;2;2;-;1;1;1;;1;;1;04:00;16:00;6;250;3;3;1;06:00;16:00;3;60;8;7;"2;3";2;-;1;2;2;2;2;1;2;2;;0;traz galao de agua;1;;1;1;;1;10;200;15;;;;10;4,16;20;7;2.92;6;10;3,5;10;5;1;6;1;;1;1;2;1;2;3500;2000;3000;1500;3000;2000;1000;300;2;2;2;2;2;2;2;2;2;"tempo de montar e desmontar ; inseguranca por furto";1;7;2;2;2;1;2;-;1;4;5;1;1;5;3;5;2;5;5;2;2;-;-;-;-;-;1;-
